coef,label
-0.69601458683149,IIIIIIII
-0.039545842195677576,IIIIYYXX
0.00996983626862489,YZZZZYXX
0.009969836268624889,IXZZXIXX
-0.027555594580929346,IIYYIIXX
-0.025414438898574823,YYIIIIXX
0.039545842195677576,IIIIXYYX
-0.00996983626862489,XZZZZYYX
0.009969836268624889,IXZZYIYX
0.027555594580929346,IIXYIIYX
0.025414438898574823,XYIIIIYX
0.022954032783135982,IIXZXXZX
0.022954032783135982,IIYZYXZX
0.02263921167556501,IXZXIXZX
0.012601007740188458,IYZYIXZX
0.03873654213816993,XZXIIXZX
0.03873654213816993,YZYIIXZX
0.010038203935376553,IXZYIYZX
-0.026135534397981473,YZZYXZZX
-0.01609733046260492,IXXIXZZX
0.026135534397981473,XZZYYZZX
-0.01609733046260492,IXYIYZZX
0.006395303378713996,IIIXZZZX
-0.0005353983319287247,IIZXZZZX
0.00988647146875998,IZIXZZZX
0.0194509931999852,ZIIXZZZX
0.009564521731225222,YYXZZZZX
-0.009564521731225222,XYYZZZZX
-0.003242484102404781,IIIXIZZX
0.0197115486807312,IIIXZIZX
0.01872771377805501,IIIXZZIX
0.039545842195677576,IIIIYXXY
-0.00996983626862489,YZZZZXXY
0.009969836268624889,IYZZXIXY
0.027555594580929346,IIYXIIXY
0.025414438898574823,YXIIIIXY
-0.039545842195677576,IIIIXXYY
0.00996983626862489,XZZZZXYY
0.009969836268624889,IYZZYIYY
-0.027555594580929346,IIXXIIYY
-0.025414438898574823,XXIIIIYY
0.010038203935376553,IYZXIXZY
0.022954032783135982,IIXZXYZY
0.022954032783135982,IIYZYYZY
0.012601007740188458,IXZXIYZY
0.02263921167556501,IYZYIYZY
0.03873654213816993,XZXIIYZY
0.03873654213816993,YZYIIYZY
0.026135534397981473,YZZXXZZY
-0.01609733046260492,IYXIXZZY
-0.026135534397981473,XZZXYZZY
-0.01609733046260492,IYYIYZZY
0.006395303378713996,IIIYZZZY
-0.0005353983319287247,IIZYZZZY
0.00988647146875998,IZIYZZZY
0.0194509931999852,ZIIYZZZY
-0.009564521731225222,YXXZZZZY
0.009564521731225222,XXYZZZZY
-0.003242484102404781,IIIYIZZY
0.0197115486807312,IIIYZIZY
0.01872771377805501,IIIYZZIY
0.1541556813129708,IIIIIIIZ
0.01872771377805501,IIXZZZXZ
0.01872771377805501,IIYZZZYZ
0.1134680800075942,IIIIIIZZ
0.00937760555890554,IXZZZXIZ
0.00937760555890554,IYZZZYIZ
0.060486155631648386,IIIIIZIZ
0.019347441827530426,XZZZXIIZ
0.019347441827530426,YZZZYIIZ
0.10003199782732597,IIIIZIIZ
0.07425058761068719,IIIZIIIZ
0.10180618219161654,IIZIIIIZ
0.0931204491309012,IZIIIIIZ
0.11853488802947602,ZIIIIIIZ
-0.022954032783135982,IIIYYXXI
-0.01609733046260492,XZZXIXXI
-0.026135534397981473,IYYIIXXI
0.022954032783135982,IIIXYYXI
-0.01609733046260492,XZZYIYXI
0.026135534397981473,IXYIIYXI
0.03873654213816993,IXZXXZXI
0.03873654213816993,IYZYXZXI
0.02263921167556501,XZXIXZXI
0.012601007740188458,YZYIXZXI
0.010038203935376553,XZYIYZXI
0.009564521731225222,XXIXZZXI
0.009564521731225222,XYIYZZXI
0.006395303378713996,IIXZZZXI
0.0194509931999852,IZXZZZXI
0.00988647146875998,ZIXZZZXI
-0.0005353983319287247,IIXIZZXI
0.0197115486807312,IIXZIZXI
-0.003242484102404781,IIXZZIXI
0.022954032783135982,IIIYXXYI
-0.01609733046260492,YZZXIXYI
0.026135534397981473,IYXIIXYI
-0.022954032783135982,IIIXXYYI
-0.01609733046260492,YZZYIYYI
-0.026135534397981473,IXXIIYYI
0.010038203935376553,YZXIXZYI
0.03873654213816993,IXZXYZYI
0.03873654213816993,IYZYYZYI
0.012601007740188458,XZXIYZYI
0.02263921167556501,YZYIYZYI
0.009564521731225222,YXIXZZYI
0.009564521731225222,YYIYZZYI
0.006395303378713996,IIYZZZYI
0.0194509931999852,IZYZZZYI
0.00988647146875998,ZIYZZZYI
-0.0005353983319287247,IIYIZZYI
0.0197115486807312,IIYZIZYI
-0.003242484102404781,IIYZZIYI
0.15415568131297078,IIIIIIZI
0.019347441827530426,IXZZZXZI
0.019347441827530426,IYZZZYZI
0.10003199782732597,IIIIIZZI
0.00937760555890554,XZZZXIZI
0.00937760555890554,YZZZYIZI
0.060486155631648386,IIIIZIZI
0.10180618219161654,IIIZIIZI
0.07425058761068719,IIZIIIZI
0.11853488802947602,IZIIIIZI
0.0931204491309012,ZIIIIIZI
-0.03451213292841246,IIYYXXII
-0.027435196828360688,YYIIXXII
0.03451213292841246,IIXYYXII
0.027435196828360688,XYIIYXII
0.023650391290113183,XZXXZXII
0.023650391290113183,YZYXZXII
-0.014085394890331095,IXZZZXII
0.020956437051332107,ZXZZZXII
-0.0012828454641497576,IXIZZXII
0.022367545825963425,IXZIZXII
-0.0007689508726810354,IXZZIXII
0.03451213292841246,IIYXXYII
0.027435196828360688,YXIIXYII
